Four-Year Schedule,,,,,,,,,,,,,,,,,,,,,Greyed cells indicate that courses will no longer be offered and should be replaced for students who need the course.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F - Fixed date and time O-Online D- Day Time N-Night Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course,Course Title,SP20,SU20,FA20,SP21,SU21,FA21,SP22,SU22,FA23,SP24,SU24,FA24,SP25,SU25,FA25,SP26,SU26,FA26,SP27,SU27,FA27,SP28,SU28,FA28,SP29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBR 3119,Fundamentals of Digital Forensics,D,.,.,N,.,.,O,.,.,O,.,.,O,.,.,O,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 3125,Operating Systems,D,.,N,D,.,N,D,.,N,D,.,N,D,.,N,D,.,N,D,,N,D,,N,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBR 3126,Client/Server Security,.,.,N,.,.,D,.,.,D,.,.,O,.,.,,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBR 3128,Cybersecurity Management,.,.,,D,.,.,.,O (MISM),.,N,.,.,O,.,.,,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 3131,Database Systems I,"D,N",.,"N,O","D,O",.,"D,O","N,O",.,"D,O","N,O",.,"D,O","N,O",.,"D,O","N,O",.,"D,O","N,O",.,"D,O","N,O",.,"D,O","N,O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBR 3135,Infrastructure Security,.,.,.,D,.,.,N,.,.,N,.,.,O,.,.,,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBR 3136,"Wireless, IoT and Mobile Security",.,.,D,.,.,N,.,.,N,.,.,N,.,.,N,.,.,N,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 3137,Natural Language Processing and Text Mining (elective),,,,,,,,,,,,"D,O",,,.,,,"D,O",,,.,,,"D,O",,elective - every other year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 3165,Professionalism in Computing,D,O(May),N,O,D(May),"N,O",O,D(May),F,O,O,O,O,D(May),O,O,D(May),O,O,D(May),O,O,D(May),O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 3175,Object-Oriented Design,"D,N",.,D,"D,N",.,D,"D,N",.,D,"D,N",.,D,D,.,D,D,.,D,D,,D,D,,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 3415,IT Practicum,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 3555,Selected Topics in Computer Science,.,.,D,.,.,D,.,.,D,.,.,D??,D??,.,D??,D??,,D??,D??,,D??,D??,,D??,D??,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 4000,Baccaulaureate Survey,D,D,D,D,D,D,D,D,D,D,O,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 4111,Game Programming I,.,.,N,.,.,D,.,.,D,.,.,D,.,.,D,.,.,D,,,D,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 4112,Game Programming II,D,.,.,N,.,.,D,.,.,D,.,.,D,.,.,D,.,.,D,,,D,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 4113,Game jam ,,,,,,,D,,,D,,,D,,,D,,,D,,,D,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 4115,Algorithms ,.,.,D,.,.,N,.,.,N,.,.,N,.,.,N,.,.,N,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 4125,Server-Side Web Development,.,.,"N,O",.,.,D,.,.,N,.,.,,N,.,,O,.,,N,,,O,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBR 4125,Global Perspectives on Cybersecurity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 4131,Full Stack Web Development,,,,,,,,,,,,N,,,N,,,N,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 4132,Web Development Projects,.,.,.,"N,O",.,.,D,.,.,N,.,.,N,.,,N,.,,N,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBR 4127,Computer & Network Security,.,.,D,.,.,"N,O",.,.,"N,O",.,.,"N,O",.,.,"N,O",.,.,"N,O",,,"N,O",,,"N,O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBR 4128,Pentration Testing and Countermeasures,D,.,?,N,.,.,D,.,.,,.,N,,.,N,,.,N,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 4135,Programming Languages,D,.,.,N,.,.,O,.,.,D,.,.,O,.,.,D,.,.,O,,,D,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBR 4137,Secuirty Policies & Implementation Security,.,.,.,,.,N,,.,N,.,,will be replaced ,.,.,,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 4138,Advanced DB Sys.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBR 4138,Security Auditing for Compliance,,,,D,,,N,,.,N,will be replaced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBR 4139,Secuirty Issues in Legal Context,.,.,.,,.,D,,.,D,,will be replaced,,,.,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 4145,Computer Graphics,.,.,"D,O",.,.,"N, O",.,.,"N, O",.,.,"N, O",.,.,"N, O",.,.,"N, O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBR 4145,Secuirty for Web Applications & Social Networking,.,.,.,,,,(O,.,,O,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBR 4146,"Network, Virtualization & Cloud Communication Infrastructure",,,,,,Needs to be offered for BS Cyber degree,,,D,,O?,O? might be replaced in fall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 4148,Theory of Computation,N,.,.,D,.,.,N,.,.,N,.,.,N,.,.,N,.,.,N,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 4155,Computer Architecture,.,.,D,.,.,N,.,.,N,.,.,N,.,.,N,.,.,N,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 4157,Computer Networks,.,D,N,.,D,N,.,D,N,.,D,N,.,D,N,.,D,N,,D,N,,D,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBR 4160,Applied Cryptography,D,.,.,N,.,.,D,.,.,,,N,,,N,,.,N,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBR 4166,Intrusion Detection & Prevention,D,.,.,N,.,.,D,.,.,D,.,.,D,.,.,D,.,.,D,,,D,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 4175,Software Enginnering,.,.,D,.,.,N,.,.,N,.,.,N,.,.,N,.,.,N,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 4176,Senior Software Engineering Project,N,.,.,D,.,.,N,.,.,N,.,.,N,.,.,N,.,.,N,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 4185,Artificial Intelligence and Machine Learning,N,.,.,D,.,.,N,.,.,N,.,.,N,.,.,N,.,.,N,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 4205,IT Senior Capstone,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBR 4416,Cybersecurity Practicum,.,.,.,D?,.,O,O,O,O,O,.,O,O,.,O,O,.,O,O,,O,O,,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 4505,Undergraduate Research,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 4555,Selected Topics in Computer Science,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 4698,Internship in Computer Science,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 4899,Independent Study,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 6000,Graduate Exit Exam,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBR 6000,Graduate Exit Examination,,,,,,,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 6103,Computer Science Principles for Teachers,.,O,.,O,.,.,O,.,.,.,.,.,O,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 6105,Fund. Principles of Computer Science,"F, O",.,"F, O","F,O",.,"F, O","F, O",.,"F,O","F, O",.,"F, O","F, O",.,"F, O","F, O",.,"F, O","F, O",,"F, O","F, O",,"F, O","F, O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 6106,Fund. Of Comp. Prog. And Data Structures,"F, O","F,O","F, O","F, O",?,"F, O","F, O",?,,"F, O",O,"F, O","F, O",O,"F, O","F, O",O,"F, O","F, O",O,"F, O","F, O",O,"F, O","F, O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 6109,Algorithms Analysis and Design,"F, O",.,"F,O","F,O",.,"F,O","F, O",.,"F,O","F, O",.,"F, O","F, O",.,"F, O","F, O",.,"F, O","F, O",,"F, O","F, O",,"F, O","F, O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 6114,Fundamentals of Machine Leraning,.,.,"F,O",.,.,"F,O",.,.,"F,O",.,.,"F,O",.,.,"F,O",.,.,"F,O",,,"F,O",,,"F,O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 6119,Object-Oriented Development,"F, O",.,.,"F, O",.,.,"F, O",.,.,,,"F,O",,??,"F, O",,"F, O","F, O",,"F, O","F, O",,"F, O","F, O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 6121,Data Science and Big Data Analytics,,,,,,,,,,,,"F, O",,,"F, O",,,"F, O",,,"F, O",,,"F, O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBR 6222,Foundation of Cybersecurity Policy and Management,O,.,O,O,.,O,O,.,O,.,,O,.,,O,.,,O,,,O,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 6124,Advanced Machine Learning,.,.,.,"F,O",.,.,"F,O",.,.,"F,O",.,.,"F,O",.,.,"F,O",.,.,"F,O",,,"F,O",,,"F,O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 6125,Operating Systems Design and Implementation,.,.,"F, O",.,.,"F, O",.,.,"F, O",.,.,"F, O",.,.,"F, O",.,.,"F, O",,,"F, O",,,"F, O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBR 6126,Introduction to Cybersecurity,"F, O",O,"F, O","F, O",O,"F, O","F, O",O,"F, O","F, O",O,"F, O","F, O",O,"F, O","F, O",O,"F, O","F, O",O,"F, O","F, O",O,"F, O","F, O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 6127,Contemporary Issues in DBMS,"F, O",.,.,"F, O",.,.,"F,O",.,.,"F,O",.,,"F,O",.,,"F,O",.,.,"F,O",.,.,"F,O",,,"F,O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBR 6128,Network Security,.,.,.,"F,O",.,.,"F,O",.,.,"F,O",.,.,"F,O",.,.,"F,O",.,.,"F,O",,,"F,O",,,"F,O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBR 6136,Human Aspects of Cybersecurity,.,.,"F,O",.,.,"F,O",.,.,,.,O,,,"F,O",,"F,O ???",O,,??,O,,,O,,,required course but only offered in summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 6147,Data Visualization and Presentation,.,.,.,"F,O",.,"F, O","F,O",.,"F,O","F, O",.,,"F, O",.,.,"F, O",,,"F, O",,,"F, O",,,"F, O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 6157,Network and Cloud Management,.,.,"F,O",.,.,"F,O",.,O,"F, O",.,,"F, O","F,O",.,"F, O","F,O",.,"F, O","F,O",,"F, O","F, O",,"F, O","F, O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBR 6159,Digital Forensics,,,,,,,,,"F, O",,,"F, O",,,"F, O",,,"F, O",,,"F, O",,,"F, O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBR 6167,Cybersecurity Risk Management,"F, O",.,.,"F, O",.,.,"F, O",.,.,.,.,.,"F, O",.,.,"F, O",.,.,"F, O",,,"F, O",,,"F, O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 6175,Web Engineering and Technologies,"F, O",.,.,.,.,.,"F, O",.,.,"F, O",.,"F, O",.,.,"F, O",.,.,"F, O",.,.,"F, O",,,"F, O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 6177,Software Design and Development,.,.,.,"F, O",.,.,.,.,.,.,.,"F, O",.,.,"F, O",.,.,"F, O",,,"F, O",,,"F, O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 6179,Software Project Planning and Management,.,.,.,,.,.,.,.,,,.,,"F, O",.,.,"F,O",.,.,"F,O",,,"F,O",,,"F,O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 6185,Intelligent Systems,"F, O",.,.,"F, O",.,.,"F, O",.,"F,O","F, O",,,"F, O",.,??,"F, O",.,,"F, O",,,"F, O",,,"F, O",core course that is offered once a year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBR 6226,Cloud Computing Security,,O,.,.,O,.,.,O,.,O,O,.,O,.,.,O,.,,O,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBR 6228,Global Cybersecurity,.,.,O,.,.,O,.,.,,O,.,.,O,.,.,O,.,.,O,,O,,O,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBR 6299,Capstone in Cybersecurity Policy and Management,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 6555,Selected Topics in Computer Science ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 6698,Graduate Internship ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 6899,Independent Study,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 6985,Research and Thesis,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBR 6985,Cybersecurity Research and Thesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC 6986,Thesis Defense,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBR 6986,Thesis Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
